nullremote_url,video_duration,audio_only,reference_id,remote_stream_name,current_filename,type,controller_type,account_id,size,updated_at,uploaded_at,cdn_origin_id,progressive_download,name,id,complete,video_codec,video_container
304000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:27.581Z,6101266347001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993479/VOD_Source/993495/2019-06-08_01-02-52-9200/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:27.581Z,,true,MP4,,true
304000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:26.666Z,6101267608001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993495/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:26.666Z,,false,,,true
304000,,,FULL_LENGTH,DEFAULT,2019-11-07T01:05:20.920Z,6101266357001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993479/VOD_Source/993480/2019-06-07_10-57-23-0293/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:05:20.919Z,,true,MP4,,true
304000,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:05:20.320Z,6101267804001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993480/index.m3u8,,false,,6057984922001,0,2019-11-07T01:05:20.320Z,,false,,,true
66840,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:11.628Z,6101266156001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/993449/VOD_Source/2019-06-07_04-08-04-1708/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:11.628Z,,true,MP4,,true
66840,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:11.066Z,6101266609001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993449/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:11.066Z,,false,,,true
190920,,,FULL_LENGTH,DEFAULT,2019-11-07T01:06:36.206Z,6101267535001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_geelong_vod/2019/06/993398/VOD_Source/2019-06-06_07-49-34-0282/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:06:36.206Z,,true,MP4,,true
190920,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:06:35.613Z,6101267820001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993398/index.m3u8,,false,,6057984922001,0,2019-11-07T01:06:35.613Z,,false,,,true
201240,,,FULL_LENGTH,DEFAULT,2019-11-07T01:06:05.543Z,6101265959001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_collingwood_vod/2019/06/993376/VOD_Source/2019-06-06_05-19-26-9501/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:06:05.543Z,,true,MP4,,true
201240,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:06:04.994Z,6101267051001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993376/index.m3u8,,false,,6057984922001,0,2019-11-07T01:06:04.993Z,,false,,,true
